,gs_margin_cutoff,context,selection_type,pval,null_ll,alt_ll,neg_log10_llrt_pval,Tie-Breaker Margin,Selection Type,-log10(LLRT p-value),loglik_diff,bf
0,0.0,baseline,grade_score,0.0021278182578081143,-35.41295749379566,-30.695021205699966,2.6720654689530026,None,Highest Avg. GS,2.6720654689530026,4.717936288095693,111.9370084023357
1,0.001,proposed,grade_score,0.03958858059976373,-35.41295749379566,-33.29524220274135,1.4024300690672171,0.001,Highest Avg. GS,1.4024300690672171,2.11771529105431,8.31212499062313
2,0.01,proposed,grade_score,0.039141921139590884,-35.41295749379566,-33.285608798653534,1.4073578623814498,0.01,Highest Avg. GS,1.4073578623814498,2.1273486951421248,8.392585983869541
3,0.025,proposed,grade_score,0.48677112650232135,-35.41295749379566,-35.17112969059387,0.3126751904514417,0.025,Highest Avg. GS,0.3126751904514417,0.24182780320178665,1.2735748684186305
4,0.05,proposed,grade_score,0.007562862903884694,-35.41295749379566,-31.845872348447543,2.1213137722240187,0.05,Highest Avg. GS,2.1213137722240187,3.5670851453481163,35.413218179563216
5,0.1,proposed,grade_score,0.004450584020108421,-35.41295749379566,-31.367869496907154,2.351582995745324,0.1,Highest Avg. GS,2.351582995745324,4.045087996888505,57.116211861940094
6,0.2,proposed,grade_score,0.0012479379877527747,-35.41295749379566,-30.20396364413238,2.903806994978842,0.2,Highest Avg. GS,2.903806994978842,5.20899384966328,182.90993069092283
7,0.0,baseline,slide_seg_max,0.013610924965555096,-35.41295749379566,-32.36899763927164,1.8661123601907368,None,Highest GS Seg.,1.8661123601907368,3.0439598545240187,20.988189075437887
8,0.001,proposed,slide_seg_max,0.00013281317690880284,-35.41295749379566,-28.11223862499367,3.876758834795647,0.001,Highest GS Seg.,3.876758834795647,7.30071886880199,1481.3644516007832
9,0.01,proposed,slide_seg_max,0.00010301482105346586,-35.41295749379566,-27.872641394198784,3.9871002875406516,0.01,Highest GS Seg.,3.9871002875406516,7.540316099596875,1882.4249649001838
10,0.025,proposed,slide_seg_max,9.683552949371061e-05,-35.41295749379566,-27.814246495255375,4.013965268394164,0.025,Highest GS Seg.,4.013965268394164,7.598710998540284,1995.6218769914817
11,0.05,proposed,slide_seg_max,0.0005506993494326924,-35.41295749379566,-29.445132897309357,3.2590854365711213,0.05,Highest GS Seg.,3.2590854365711213,5.967824596486302,390.6549136436144
12,0.1,proposed,slide_seg_max,0.0036179002855301406,-35.41295749379566,-31.17981613331944,2.441543407083944,0.1,Highest GS Seg.,2.441543407083944,4.233141360476218,68.93343718217123
13,0.2,proposed,slide_seg_max,0.0005159840696679347,-35.41295749379566,-29.384460134170638,3.287363706438891,0.2,Highest GS Seg.,3.287363706438891,6.028497359625021,415.0908282866851
14,0.0,baseline,slide_seg_maxes_10_area_frac_min,0.0006478858667514925,-35.41295749379566,-29.59640891703186,3.1885014938296172,None,"Highest GS Seg.
 (10%+ Slide Area)",3.1885014938296172,5.8165485767638,335.8110252070063
15,0.001,proposed,slide_seg_maxes_10_area_frac_min,1.3930551600976836e-05,-35.41295749379566,-25.97364941081094,4.8560316866975315,0.001,"Highest GS Seg.
 (10%+ Slide Area)",4.8560316866975315,9.43930808298472,12573.014413589079
16,0.01,proposed,slide_seg_maxes_10_area_frac_min,1.2738894393099669e-05,-35.41295749379566,-25.88834084146257,4.894868262723732,0.01,"Highest GS Seg.
 (10%+ Slide Area)",4.894868262723732,9.52461665233309,13692.679861414168
17,0.025,proposed,slide_seg_maxes_10_area_frac_min,4.965972433597688e-05,-35.41295749379566,-27.18242946131162,4.3039956955687355,0.025,"Highest GS Seg.
 (10%+ Slide Area)",4.3039956955687355,8.230528032484038,3753.815365317925
18,0.05,proposed,slide_seg_maxes_10_area_frac_min,3.020981600572533e-05,-35.41295749379566,-26.71067062016597,4.519851919809193,0.05,"Highest GS Seg.
 (10%+ Slide Area)",4.519851919809193,8.702286873629689,6016.65582787267
19,0.1,proposed,slide_seg_maxes_10_area_frac_min,0.0006019881547860586,-35.41295749379566,-29.528047746196087,3.220412054193443,0.1,"Highest GS Seg.
 (10%+ Slide Area)",3.220412054193443,5.884909747599572,359.5703144481198
